"Name","NewName","Statue"
"IMG_20200817_185902.jpg","IMG_20200817_185902.jpg","SAME"
"IMG_20200817_222105.jpg","IMG_20200817_222105.jpg","SAME"
"IMG_20200817_222110.jpg","IMG_20200817_222110.jpg","SAME"
"IMG_20200817_222658.jpg","IMG_20200817_222658.jpg","SAME"
"IMG_20200817_222659.jpg","IMG_20200817_222659.jpg","SAME"
"IMG_20200817_222721.jpg","IMG_20200817_222721.jpg","SAME"
"IMG_20200819_012329.jpg","IMG_20200819_012329.jpg","SAME"
"IMG_20200819_021335.jpg","IMG_20200819_021335.jpg","SAME"
"IMG_20200819_161618.jpg","IMG_20200819_161618.jpg","SAME"
"IMG_20200819_211945.jpg","IMG_20200819_211945.jpg","SAME"
"IMG_20200820_120702.jpg","IMG_20200820_120702.jpg","SAME"
"IMG_20200820_121049.jpg","IMG_20200820_121049.jpg","SAME"
"IMG_20200820_130150.jpg","IMG_20200820_130150.jpg","SAME"
"IMG_20200820_130235.jpg","IMG_20200820_130235.jpg","SAME"
"IMG_20200820_132048.jpg","IMG_20200820_132048.jpg","SAME"
"IMG_20200820_194014.jpg","IMG_20200820_194014.jpg","SAME"
"IMG_20200821_090835.jpg","IMG_20200821_090835.jpg","SAME"
"IMG_20200822_222750.jpg","IMG_20200822_222750.jpg","SAME"
"IMG_20200823_001129.jpg","IMG_20200823_001129.jpg","SAME"
"IMG_20200824_125613.jpg","IMG_20200824_125613.jpg","SAME"
"IMG_20200824_133558.jpg","IMG_20200824_133558.jpg","SAME"
"IMG_20200824_230528.jpg","IMG_20200824_230528.jpg","SAME"
"IMG_20200824_230601.jpg","IMG_20200824_230601.jpg","SAME"
"IMG_20200825_131045.jpg","IMG_20200825_131045.jpg","SAME"
"IMG_20200825_131053.jpg","IMG_20200825_131053.jpg","SAME"
"IMG_20200825_131119.jpg","IMG_20200825_131119.jpg","SAME"
"IMG_20200826_024739.jpg","IMG_20200826_024739.jpg","SAME"
"IMG_20200826_024744.jpg","IMG_20200826_024744.jpg","SAME"
"IMG_20200828_090041.jpg","IMG_20200828_090041.jpg","SAME"
"IMG_20200828_093445.jpg","IMG_20200828_093445.jpg","SAME"
"IMG_20200828_093447.jpg","IMG_20200828_093447.jpg","SAME"
"IMG_20200828_093457.jpg","IMG_20200828_093457.jpg","SAME"
"IMG_20200828_183419.jpg","IMG_20200828_183419.jpg","SAME"
"IMG_20200829_072323.jpg","IMG_20200829_072323.jpg","SAME"
